Reservoir_name,Basin,Subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,01-10-23,2023,10,320.04,0.095,0.00312,301.965
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,02-10-23,2023,10,320.04,0.095,0.00351,302.087
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,03-10-23,2023,10,320.04,0.095,0.00447,302.392
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,04-10-23,2023,10,320.04,0.095,0.00524,302.636
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,Varrar and others,CWC,10.47266817,76.97459708,05-10-23,2023,10,320.04,0.095,0.00572,302.788
Almatti Reservoir,Krishna Basin,Krishna Upper,CWC,16.34679294,75.73004306,01-10-23,2023,10,519.6,3.105,2.578,518.73
Almatti Reservoir,Krishna Basin,Krishna Upper,CWC,16.34679294,75.73004306,02-10-23,2023,10,519.6,3.105,2.587,518.75
Almatti Reservoir,Krishna Basin,Krishna Upper,CWC,16.34679294,75.73004306,03-10-23,2023,10,519.6,3.105,2.609,518.8
Almatti Reservoir,Krishna Basin,Krishna Upper,CWC,16.34679294,75.73004306,04-10-23,2023,10,519.6,3.105,2.677,518.95
Almatti Reservoir,Krishna Basin,Krishna Upper,CWC,16.34679294,75.73004306,05-10-23,2023,10,519.6,3.105,2.69,518.98
Balimela Reservoir,Godavari Basin,Godavari Lower,CWC,18.22494359,82.20423569,01-10-23,2023,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,Godavari Lower,CWC,18.22494359,82.20423569,02-10-23,2023,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,Godavari Lower,CWC,18.22494359,82.20423569,03-10-23,2023,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,Godavari Lower,CWC,18.22494359,82.20423569,04-10-23,2023,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,Godavari Lower,CWC,18.22494359,82.20423569,05-10-23,2023,10,462.08,2.676,1.412,453.816
Ban Sagar,Ganga Basin,Sone,CWC,24.11161168,81.09238214,01-10-23,2023,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,Sone,CWC,24.11161168,81.09238214,02-10-23,2023,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,Sone,CWC,24.11161168,81.09238214,03-10-23,2023,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,Sone,CWC,24.11161168,81.09238214,04-10-23,2023,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,Sone,CWC,24.11161168,81.09238214,05-10-23,2023,10,341.64,5.166,5.14676,341.43
Bargi\Rani Avanti Bai Sagar,Narmada Basin,Narmada Upper,CWC,22.83846247,80.03685961,01-10-23,2023,10,422.76,3.18,3.1595,423
Bargi\Rani Avanti Bai Sagar,Narmada Basin,Narmada Upper,CWC,22.83846247,80.03685961,02-10-23,2023,10,422.76,3.18,3.1595,423
Bargi\Rani Avanti Bai Sagar,Narmada Basin,Narmada Upper,CWC,22.83846247,80.03685961,03-10-23,2023,10,422.76,3.18,3.1595,422.95
